"","x"
"1",8770.1
"2",13255.5
"3",11660.5
"4",2455.4
"5",4094.5
"6",4579.7
"7",7541.7
"8",6876.9
"9",5629.4
"10",626.3
"11",3503.2
"12",3557.4
"13",1790.8
"14",1844.8
"15",6858.2
"16",7878
"17",5123.8
"18",5549.1
"19",966.8
"20",739.5
"21",644.8
"22",351.1
"23",233.2
"24",1663.8
"25",921.6
"26",1090.9
"27",2717.5
"28",1925.4
"29",1099.4
"30",306.1
"31",325.5
"32",472.8
"33",689
"34",1076
"35",533.6
"36",638.7
"37",1083.7
"38",2020
"39",2203.9
"40",2024.2
"41",2357.4
"42",7750.5
"43",7780.9
"44",6472.8
"45",6463
"46",5949.8
"47",6203.4
"48",6021.5
"49",6255.8
"50",7831.5
"51",6892.8
"52",2571.6
"53",2460
"54",2552.5
"55",2550.7
"56",9801
"57",6594.5
"58",5982.1
"59",7961.3
"60",7562.3
"61",8417.7
"62",2467.1
"63",6298.2
"64",9800.3
"65",7134.5
"66",5690.4
"67",8201.8
"68",11382.2
"69",12878.3
"70",7071.7
"71",6486.4
"72",1339.7
"73",9683.4
"74",7793.1
"75",10253.8
"76",8135
"77",4780.3
"78",5955.5
"79",7865.4
"80",5140.7
"81",2656.3
"82",8632.2
"83",12916.6
"84",11159.3
"85",12223.4
"86",9377.9
"87",15460.8
"88",46005.5
"89",2518.9
"90",2660.8
"91",1767.4
"92",1509.2
"93",1057.9
"94",757.1
"95",1017.4
"96",568.9
"97",3349.5
"98",3107.7
"99",2754.5
"100",985.5
"101",3123.8
"102",2026
"103",3650.8
"104",10888.2
"105",2217
"106",2231.7
"107",2861.6
"108",321.2
"109",548.6
"110",512.8
"111",1257.5
"112",1203.7
"113",1305.9
"114",10662.2
"115",24831.8
"116",8096.9
"117",264.9
"118",1414.9
"119",9692
"120",1020.3
"121",5371.5
"122",5385.8
"123",6608.1
"124",6227.1
"125",7199.6
"126",7133.2
"127",5974.9
"128",1468.2
"129",4994.9
"130",1118.7
"131",4300.2
"132",3191.4
"133",4270.1
"134",3587.5
"135",2887.9
"136",2841.4
"137",3356.1
"138",6148.6
"139",5720.3
"140",4865.5
"141",150.5
"142",5493.5
"143",9614.6
"144",1216.1
"145",2529
"146",5286.8
"147",5040.9
"148",5168.6
"149",1023.7
"150",4301.5
"151",3013.2
"152",7228.3
"153",4825.2
"154",3889.2
"155",1179.1
"156",883.7
"157",594
"158",532.1
"159",636.9
"160",5676.5
"161",4683.2
"162",6547.6
"163",8122.9
"164",8048.1
"165",5472.6
"166",3502.4
"167",5918.8
"168",1536.9
"169",1680.1
"170",2701.1
"171",2575.2
"172",1591.5
"173",3186.8
"174",1145.5
"175",4564.1
"176",5302.1
"177",7033.2
"178",6299.4
"179",5199.4
"180",3738.3
"181",10210.4
"182",3590.6
"183",4392.5
"184",4490.4
"185",501.3
"186",7456.5
"187",7317.5
"188",7776.7
"189",6786.1
"190",580.4
"191",2314.9
"192",1366.1
"193",6959.3
"194",6737.1
"195",352.6
"196",5816.4
"197",4797.7
"198",11520.1
"199",9031.3
"200",6405.1
"201",6670.1
"202",6771.8
"203",5657.5
"204",6774.4
"205",1358.8
"206",1335.9
"207",8538.1
"208",11690.8
"209",8602.6
"210",7817.1
"211",7540.4
"212",4799
"213",2448.6
"214",6398.1
"215",8186.8
"216",7612.9
"217",8232.5
"218",8479.1
"219",1888.8
"220",4698.1
"221",7744.4
"222",6731.4
"223",5942
"224",6770.8
"225",6126.5
"226",7011.8
"227",12880.4
"228",10267.7
"229",13607.7
"230",15542.7
"231",13891.7
"232",14689.9
"233",7402.2
"234",6950.9
"235",11299.2
"236",5885
"237",21005.6
"238",29285.5
"239",5123.6
"240",4815.3
"241",8830.6
"242",3217.9
"243",11073.9
"244",11043.3
"245",12626.8
"246",7685.7
"247",4358.7
"248",12303.2
"249",9250.1
"250",8022.7
"251",8250
"252",19534.1
"253",6529.3
"254",7123.7
"255",10150.4
"256",9687.9
"257",12250.3
"258",11566.5
"259",15056.7
"260",30221.8
"261",5009.5
"262",4990.5
"263",5796.5
"264",2947.8
"265",9015.3
"266",15262.5
"267",15108.6
"268",11743
"269",7339.9
"270",9609
"271",7968.1
"272",8165.1
"273",5957.9
"274",6290.6
"275",12874.5
"276",9947.7
"277",14083.1
"278",42224.1
"279",53885.9
"280",59988.8
"281",70125.5
"282",70218.1
"283",70538.5
"284",63246
"285",66628.7
"286",5966.6
"287",5421
"288",7801.4
"289",8420
"290",8171.6
"291",9052.2
"292",9471.8
"293",9837.1
"294",9456.7
"295",8803.9
"296",12509.8
"297",11582.2
"298",10074.3
"299",11528.7
"300",8751.7
"301",3762.6
"302",6156.5
"303",6324.9
"304",8905.3
"305",9125.2
"306",11907.7
"307",9907.6
"308",8865.4
"309",8416.6
"310",4906.2
"311",9500.8
"312",9282.1
"313",8124
"314",7146.6
"315",9041.4
"316",9596.8
"317",10358
"318",7765.6
"319",7477
"320",8318.7
"321",8205.5
"322",9279.2
"323",8071.6
"324",13952.4
"325",6747.5
"326",8059.6
"327",8774.9
"328",12094.4
"329",8598.2
"330",7832.7
"331",8535.9
"332",9394.5
"333",9854.8
"334",9175.9
"335",7133.8
"336",9419.4
"337",8019.9
"338",9795.6
"339",7070.5
"340",7129.9
"341",7669.7
"342",7002.9
"343",7094.4
"344",8667
"345",10647.7
"346",8990.8
"347",8488.4
"348",6226.9
"349",5475
"350",8124.3
"351",10029.9
"352",8251.7
"353",5695.9
"354",5820.6
"355",3667.7
"356",2557.9
"357",1969.5
"358",6195.2
"359",2452
"360",3849.1
"361",5447.1
"362",10763
"363",8234.2
"364",7073.4
"365",7349.1
"366",7929.8
"367",8094
"368",7972.1
"369",8135.3
"370",14352.2
"371",9236.8
"372",7705.9
"373",10287.8
"374",13699.5
"375",13375.2
"376",13233.5
"377",13211.3
"378",7494.2
"379",9063.2
"380",12651
"381",12597.3
