"","x"
"1",3
"2",1
"3",1
"4",0
"5",2
"6",1
"7",4
"8",4
"9",3
"10",2
"11",4
"12",4
"13",1
"14",1
"15",3
"16",4
"17",2
"18",5
"19",3
"20",3
"21",3
"22",3
"23",3
"24",1
"25",0
"26",1
"27",2
"28",3
"29",3
"30",0
"31",0
"32",0
"33",0
"34",2
"35",0
"36",0
"37",1
"38",1
"39",1
"40",0
"41",0
"42",3
"43",3
"44",3
"45",3
"46",0
"47",3
"48",2
"49",0
"50",1
"51",1
"52",3
"53",1
"54",3
"55",3
"56",1
"57",3
"58",3
"59",3
"60",2
"61",0
"62",7
"63",3
"64",5
"65",5
"66",1
"67",3
"68",4
"69",4
"70",2
"71",4
"72",2
"73",3
"74",2
"75",4
"76",0
"77",7
"78",4
"79",4
"80",0
"81",0
"82",0
"83",2
"84",2
"85",1
"86",1
"87",2
"88",4
"89",4
"90",4
"91",1
"92",1
"93",1
"94",3
"95",4
"96",4
"97",2
"98",2
"99",2
"100",1
"101",1
"102",1
"103",2
"104",3
"105",2
"106",2
"107",1
"108",2
"109",1
"110",2
"111",1
"112",1
"113",1
"114",4
"115",2
"116",2
"117",1
"118",3
"119",2
"120",2
"121",1
"122",11
"123",4
"124",6
"125",5
"126",3
"127",3
"128",1
"129",1
"130",1
"131",7
"132",3
"133",6
"134",4
"135",4
"136",5
"137",1
"138",1
"139",4
"140",3
"141",1
"142",3
"143",2
"144",2
"145",4
"146",6
"147",6
"148",7
"149",2
"150",3
"151",4
"152",8
"153",2
"154",3
"155",1
"156",1
"157",2
"158",1
"159",1
"160",5
"161",9
"162",4
"163",3
"164",3
"165",2
"166",2
"167",1
"168",2
"169",1
"170",3
"171",3
"172",1
"173",4
"174",1
"175",7
"176",5
"177",3
"178",6
"179",6
"180",2
"181",2
"182",3
"183",2
"184",1
"185",2
"186",6
"187",6
"188",6
"189",3
"190",2
"191",3
"192",3
"193",4
"194",4
"195",3
"196",7
"197",4
"198",7
"199",6
"200",5
"201",5
"202",4
"203",5
"204",6
"205",1
"206",2
"207",2
"208",6
"209",3
"210",4
"211",3
"212",4
"213",3
"214",3
"215",4
"216",4
"217",6
"218",6
"219",1
"220",8
"221",9
"222",8
"223",5
"224",7
"225",2
"226",2
"227",5
"228",6
"229",8
"230",7
"231",6
"232",8
"233",10
"234",10
"235",3
"236",4
"237",11
"238",7
"239",3
"240",4
"241",3
"242",4
"243",7
"244",8
"245",7
"246",8
"247",8
"248",9
"249",8
"250",4
"251",3
"252",2
"253",3
"254",3
"255",6
"256",6
"257",8
"258",8
"259",6
"260",8
"261",4
"262",4
"263",7
"264",1
"265",1
"266",7
"267",7
"268",7
"269",4
"270",5
"271",4
"272",5
"273",5
"274",4
"275",8
"276",0
"277",10
"278",10
"279",8
"280",8
"281",6
"282",6
"283",6
"284",4
"285",5
"286",4
"287",5
"288",6
"289",7
"290",9
"291",1
"292",2
"293",4
"294",4
"295",4
"296",4
"297",10
"298",2
"299",2
"300",1
"301",3
"302",4
"303",2
"304",1
"305",3
"306",6
"307",2
"308",1
"309",1
"310",3
"311",2
"312",0
"313",2
"314",2
"315",2
"316",0
"317",0
"318",2
"319",2
"320",3
"321",1
"322",0
"323",3
"324",5
"325",3
"326",4
"327",4
"328",4
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",2
"336",3
"337",4
"338",4
"339",3
"340",3
"341",3
"342",3
"343",3
"344",0
"345",3
"346",4
"347",3
"348",4
"349",2
"350",3
"351",2
"352",2
"353",2
"354",2
"355",2
"356",2
"357",2
"358",2
"359",2
"360",2
"361",2
"362",5
"363",5
"364",7
"365",9
"366",7
"367",7
"368",7
"369",7
"370",8
